,link,text,date,No_of_likes,No_of_tweets
81,https://twitter.com/NUL_Transport/status/1386320890388893701#m,"For more on the 50th anniversary of the 747, see our 2020 digital exhibit The 747 Takes Off: The Dawn of the Jumbo Jet Age. https://sites.northwestern.edu/747anniversary/","Apr 25, 2021 · 2:07 PM UTC",1,0
82,https://twitter.com/EricsonAdv/status/1386304536579543042#m,"Of course! And you can build a Jumbo Jet using tin cans ... By the way, Lewis Carroll also explains how Alice went down the rabbit hole and found a new world. Incredible!","Apr 25, 2021 · 1:02 PM UTC",0,2
83,https://twitter.com/TenzinMiyu/status/1386285374461202433#m,🌊🐋like a sea jumbo jet. ✈,"Apr 25, 2021 · 11:46 AM UTC",54,0
84,https://twitter.com/AnnaButlerFic/status/1386266084161040387#m,"Got mine on May 3rd, and not looking forward to it as I've heard the second one can feel like a jumbo jet mowed you down on the way out, and got you again on the way back. Still, better that than the plague.","Apr 25, 2021 · 10:29 AM UTC",1,1
85,https://twitter.com/Walle29581727/status/1386259854579412993#m,"Annalena Baerbock fliegt ab sofort den Jumbojet der Grünhansa direkt ins Krisengebiet für Reporter. Punkt-, Bruch- oder Notlandung?   https://invidious.io.lol/watch?v=0ivb-YE-bpQ","Apr 25, 2021 · 10:04 AM UTC",0,0
86,https://twitter.com/AyyMGe3e/status/1386211441997357057#m,jeweler jewelry job join  joint  joke  journal  journey  joy judge judgment juice jumbo jet jump jump shot junior jurisdiction juror jury just  justice keep key kick kickoff kid kill kind  kindness king  kingdom kiss  kitchen  knee kneel  knife  knit  knock  knot know knowledge,"Apr 25, 2021 · 6:52 AM UTC",0,0
87,https://twitter.com/yajnshri/status/1386183691420913664#m,"Valmiki has mentioned the word ‘Vimana‘ atleast 19 times in his epic poem Ramayana.  Sita mentioned 3 different types of Vimanas in Ramayana (Ayodhya Kanda, 27 Sarga), where she wishes to follow her husband to forest exile.  Ravana used jumbo jet, helicopter etc, while Indrajit","Apr 25, 2021 · 5:02 AM UTC",490,15
88,https://twitter.com/PatrolSpeciali1/status/1386150600337920000#m,"False, 9/11 the US Military ground forces could NOT be used.  The military aircraft shadowing the last plane that was ordered to “shoot” it down was unarmed. They were ordered to bring it down. Meaning one pilot was to ram the jumbo jet.","Apr 25, 2021 · 2:50 AM UTC",0,0
89,https://twitter.com/jimbo_jumbojet/status/1386148490783313921#m,Don’t buy it on an Apple device and try to cast or use a non apple device. Apple makes it an issue,"Apr 25, 2021 · 2:42 AM UTC",0,0
90,https://twitter.com/jimbo_jumbojet/status/1386116018880225285#m,Where’s the Shane Bieber post Mlb,"Apr 25, 2021 · 12:33 AM UTC",0,0
91,https://twitter.com/RCLranger/status/1386070436732149768#m,They must have seen the space shuttle being returned to the mother base on a Boing 747 jumbo jet.🙂,"Apr 24, 2021 · 9:31 PM UTC",0,0
92,https://twitter.com/ugurarya/status/1386063997720567810#m,O dönem hızlı tren Jumbo jet.vardi da soykırım olsun diye yürüyerek yolladık zaten. 1915 diyoruz mal herif. İstanbul'daki 100 bin ermeni niye göç ettirilmedi.. 1900 lerin başından beri Balkanlardan göç ettirilen 5M Türkun 3M yolda öldü ama bu soykırım o soykirim sayılmaz.,"Apr 24, 2021 · 9:06 PM UTC",0,0
93,https://twitter.com/sharroncaw01/status/1386054785086992391#m,Lights all positioned. There’s an awful lot. Fully expect a jumbo jet to have landed in the back garden by morning!,"Apr 24, 2021 · 8:29 PM UTC",4,0
94,https://twitter.com/fcbsamu_/status/1386045201114963972#m,Can I have your jumbo jet for a few more days?,"Apr 24, 2021 · 7:51 PM UTC",1,1
95,https://twitter.com/enggarrio/status/1386039585981956096#m,"Akhirnya landing jumbojet 747 lancar, walaupun miring dikit sama nose nya kurang turun dikit 😆","Apr 24, 2021 · 7:29 PM UTC",0,0
96,https://twitter.com/GreggClary/status/1386033604162031618#m,So no more air travel? Or did Elon invent a Tesla Jumbo Jet?,"Apr 24, 2021 · 7:05 PM UTC",0,0
97,https://twitter.com/SkylarkArtist/status/1386031265057546246#m,"Hampshire UK to @POTUS  Hampshire Uk to @POTUS ... Pretty bad  #contrail here left by #Kalitta on #USAF jumbo jet  freight flight from #Ramstein to #Wrightstown (take off time, height, speed, eta picked up on @flightradar24 ) Good to respect clean air targets & be aware  🛫✈️🛬","Apr 24, 2021 · 6:56 PM UTC",12,0
98,https://twitter.com/Muad_dib_UK/status/1386031103148965896#m,📷 #aircraftphotography #aircraftofinstagram #travel #jumbojet #bluesky #airplanephotography #airplanesofinstagram #airtravel #transport (at London Heathrow Airport (LHR)) https://www.instagram.com/p/CODz1ClBk_I/?igshid=d7fctd5k2leq https://tmblr.co/Zcuocha32NkhOq00,"Apr 24, 2021 · 6:55 PM UTC",1,0
99,https://twitter.com/Muad_dib_UK/status/1386030328142311424#m,📷 #aircraftphotography #airplanesofinstagram #britishairways #jumbojet #travel #airtravel #plane #planespotting #londonheathrow #landing #tourism #bluesky (at London Heathrow Airport (LHR))... https://tmblr.co/Zcuocha32Kw6aW00,"Apr 24, 2021 · 6:52 PM UTC",0,0
100,https://twitter.com/Muad_dib_UK/status/1386029360495349762#m,📷 #airplanesofinstagram #aircraftphotography #aircraft #airtravel #jumbojet #travel #tourism #londonheathrow #bluesky #airplanephotography #britishairways (at London Heathrow Airport (LHR))... https://tmblr.co/Zcuocha32HOoqi00,"Apr 24, 2021 · 6:48 PM UTC",0,0
101,https://twitter.com/wafbinthedark/status/1386027298013466624#m,Not often you get a #Boeing747 #JumboJet flying over your house. Was lower and louder than the clip does justice! ✈️,"Apr 24, 2021 · 6:40 PM UTC",0,0
102,https://twitter.com/disruptordavies/status/1386023827835170816#m,Wow reminds me of space shuttle when they used to piggyback on a jumbo jet. Don’t think have ever seen such a thing before. Awesome capture 👍,"Apr 24, 2021 · 6:26 PM UTC",0,0
103,https://twitter.com/pheonixrsng/status/1386021891979292676#m,or spread ur legs wide open like the outhouse door at the firest preserve.. pfshh more like jumbo jet landing runway.. 😒,"Apr 24, 2021 · 6:19 PM UTC",0,0
104,https://twitter.com/Navesink/status/1385987859488952321#m,I got my head checked By a jumbo jet It wasn’t easy,"Apr 24, 2021 · 4:03 PM UTC",0,0
